game_id,title,store_id,genre,platform,release_year,description
1,Batman: Arkham City,7,Action,Xbox One,2011,"Batman: Arkham City is a 2011 action-adventure game based on the DC Comics superhero Batman, it is the sequel to the 2009 video game Batman: Arkham Asylum and the second installment in the Batman: Arkham series"
2,Call of Duty: Warzone,5,Battle royale,PC,2020,"Call of Duty: Warzone is a free-to-play battle royale video game released on March 10, 2020, for PlayStation 4, Xbox One, and Microsoft Windows. A version for the PlayStation 5 and Xbox Series X/S has been announced to be released sometime in the future."
3,Minecraft,3,Survival,PC,2011,"In Minecraft, players explore a blocky, procedurally generated 3D world with virtually infinite terrain, and may discover and extract raw materials, craft tools and items, and build structures, earthworks and simple machines."
4,Overwatch,2,FPS,Xbox One,2016,"Overwatch is a 2016 team-based multiplayer first-person shooter game developed and published by Blizzard Entertainment. Described as a hero shooter, Overwatch assigns players into two teams of six, with each player selecting from a large roster of characters, known as heroes."
5,Dota 2,1,MOBA,PC,2013,"Dota 2 is a multiplayer online battle arena video game developed and published by Valve. The game is a sequel to Defense of the Ancients, which was a community-created mod for Blizzard Entertainment's Warcraft III: Reign of Chaos."
6,Star Wars: Battlefront II,6,FPS,Xbox One,2017,"Star Wars Battlefront II is an action shooter video game based on the Star Wars franchise. It is the fourth main installment of the Star Wars: Battlefront series, and a sequel to the 2015 reboot of the series."
7,Assasin's Creed: Black Flag,6,Action,PS4,2013,Assassin's Creed IV: Black Flag is an action-adventure video game developed by Ubisoft Montreal and published by Ubisoft. It is the sixth major installment in the Assassin's Creed series.
8,Amnesia: The Dark Descent,4,Horror,PC,2010,"Amnesia: The Dark Descent puts you in the shoes of Daniel as he wakes up in a desolate castle, barely remembering anything about his past. Exploring the eerie pathways, you must also take part of Daniel's troubled memories."
9,Slender: The Eight Pages,3,Horror,PC,2012,"Slender: The Eight Pages is set in a forest during the middle of the night, and is played from a first person perspective. The player's objective is to collect all eight notes located in various areas of the forest while avoiding the Slender Man."
10,Among Us,3,Party,PC,2018,Among Us is a 2018 online multiplayer social deduction game developed and published by American game studio Innersloth. The game was inspired by the party game Mafia and the science fiction horror film The Thing.
11,Fortnite Battle Royale,3,Battle royale,PS5,2017,"Fortnite Battle Royale is a free-to-play battle royale video game developed and published by Epic Games. It is a companion game to Fortnite: Save the World, a cooperative survival game with construction elements."
12,Apex Legends,5,Battle royale,PS5,2019,"Apex Legends is a free-to-play battle royale-hero shooter game developed by Respawn Entertainment and published by Electronic Arts. It was released for Microsoft Windows, PlayStation 4, and Xbox One in February 2019, and for Nintendo Switch in March 2021."
13,Overwatch,1,FPS,Xbox One,2016,"Overwatch is a 2016 team-based multiplayer first-person shooter game developed and published by Blizzard Entertainment. Described as a hero shooter, Overwatch assigns players into two teams of six, with each player selecting from a large roster of characters, known as heroes."
14,Batman: Arkham City,2,Action,Xbox One,2011,"Batman: Arkham City is a 2011 action-adventure game based on the DC Comics superhero Batman, it is the sequel to the 2009 video game Batman: Arkham Asylum and the second installment in the Batman: Arkham series"
15,Minecraft,5,Survival,PC,2011,"In Minecraft, players explore a blocky, procedurally generated 3D world with virtually infinite terrain, and may discover and extract raw materials, craft tools and items, and build structures, earthworks and simple machines."
16,Minecraft,4,Survival,PC,2011,"In Minecraft, players explore a blocky, procedurally generated 3D world with virtually infinite terrain, and may discover and extract raw materials, craft tools and items, and build structures, earthworks and simple machines."
17,Dota 2,1,MOBA,PC,2013,"Dota 2 is a multiplayer online battle arena video game developed and published by Valve. The game is a sequel to Defense of the Ancients, which was a community-created mod for Blizzard Entertainment's Warcraft III: Reign of Chaos."
18,GTA V,7,Action,Xbox Series X,2013,"Set within the fictional state of San Andreas, the single-player story follows three protagonists and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals."
19,Forza Horizon 5,7,Racing,Xbox Series X,2021,"Forza Horizon 5 is a 2021 racing video game developed by Playground Games and published by Xbox Game Studios. The twelfth main instalment of the Forza series, the game is set in a fictionalised representation of Mexico."
20,Spider-Man: Miles Morales,2,Action,PS5,2020,"The game is a spin-off of Marvel's Spider-Man, and depicts Miles' struggle to balance the duties of his civilian persona and Spider-Man when his new home, Harlem, is threatened by a war between the Roxxon Energy Corporation and the Tinkerer's high-tech criminal army, the Underground."